NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;NUM_DECADE;RR;CRR;TN;CTN;TX;CTX;FFM;CFFM;TSVM;CTSVM;INST;CINST;GLOT;CGLOT;ETP
26002003;ALBON;45.252333;4.822333;153;202501;1;19.8;0;3.8;0;11.0;0;4.6;0;8.3;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202501;2;0.4;0;-2.1;0;4.8;0;3.3;0;5.3;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202501;3;30.6;0;5.2;0;13.2;0;4.0;0;8.9;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202502;1;20.8;0;2.7;0;8.3;0;3.2;0;6.9;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202502;2;2.8;0;2.8;0;12.7;0;2.9;0;8.1;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202502;3;18.6;0;5.6;0;14.0;0;3.5;0;8.8;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202503;1;16.4;0;1.7;0;16.4;0;2.7;0;7.6;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202503;2;33.0;0;3.3;0;12.4;0;2.9;0;7.7;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202503;3;40.4;0;7.3;0;16.6;0;4.4;0;9.1;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202504;1;0.8;0;4.8;0;20.8;0;2.8;0;8.6;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202504;2;77.8;0;8.1;0;18.1;0;3.4;0;11.0;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202504;3;11.4;0;8.1;0;21.2;0;2.2;0;11.8;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202505;1;26.2;0;10.3;0;20.6;0;3.4;0;11.5;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202505;2;6.2;0;9.5;0;24.0;0;2.7;0;11.7;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202505;3;11.6;0;10.2;0;25.0;0;2.6;0;12.5;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202506;1;46.7;0;14.5;0;26.7;0;2.4;0;16.7;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202506;2;14.2;0;15.2;0;31.1;0;3.0;0;16.5;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202506;3;10.1;0;17.4;0;34.8;0;2.4;0;18.9;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202507;1;1.4;0;15.1;0;30.8;0;3.0;0;14.5;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202507;2;48.2;0;16.2;0;32.2;0;2.6;0;16.4;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202507;3;7.8;0;14.3;0;27.3;0;2.8;0;14.8;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202508;1;2.8;0;15.2;0;32.0;0;2.9;0;14.5;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202508;2;20.7;0;17.6;0;34.7;0;2.3;0;16.4;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202508;3;37.4;0;13.7;0;27.7;0;2.8;0;14.8;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202509;1;100.3;0;14.1;0;25.6;0;2.4;0;15.6;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202509;2;2.0;0;12.5;0;25.7;0;2.3;0;14.4;0;;;;;
26002003;ALBON;45.252333;4.822333;153;202509;3;44.4;0;9.4;0;18.3;0;2.0;0;12.4;0;;;;;
